model,r2,mae_log,rmse_log,mae_eur
Ridge,0.3836037325025322,0.3072286179297028,0.4155491919924178,73.26783557073958
RandomForest,0.527407889585856,0.2810318785290212,0.36386113981261453,68.27293174282983
XGBoost,0.5317522916606852,0.278294635801981,0.36218484357830766,67.0307135411067
