k,silhouette,davies_bouldin,calinski_harabasz,inertia
2,0.29719187227830973,1.525717736869068,2607.9707515568216,41683.38728273411
3,0.23439949689148024,1.7381759264746366,1925.7425125232,37249.80185934807
4,0.16147893451137862,1.7649269918395745,1622.5319302711812,34270.284170332525
5,0.16312611876771077,1.5709999495200715,1532.075230436063,31175.932727670297
6,0.14031579702089567,1.5109063186423726,1415.6641269065726,29188.96743336416
7,0.15357219503423694,1.4940166193580933,1369.408601126893,27118.207234096302
8,0.15353198333466545,1.5333846277587777,1301.2941630578505,25688.21241053501
9,0.15769584136462653,1.4853246231705601,1241.8554353943011,24492.88669210903
10,0.15551626847547992,1.4350422559618023,1190.6954826433737,23459.599417737536
